parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,i,idx0,inst,j,pname,pstyle,ptype,usecol,x,y,zone
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:5_x:1375.00_y:9875.00_zone:1,none,factor,47.557313899976606,15.0,50.0,icstrtlayer1,1.0,0.0,1,0,,0,5,icstrtlayer1,d,gr,,1375.00,9875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:6_x:1625.00_y:9875.00_zone:1,none,factor,36.072361322825195,15.0,50.0,icstrtlayer1,1.0,0.0,1,0,,0,6,icstrtlayer1,d,gr,,1625.00,9875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:7_x:1875.00_y:9875.00_zone:1,none,factor,48.18703293919304,15.0,50.0,icstrtlayer1,1.0,0.0,1,0,,0,7,icstrtlayer1,d,gr,,1875.00,9875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:8_x:2125.00_y:9875.00_zone:1,none,factor,29.549549646220534,15.0,50.0,icstrtlayer1,1.0,0.0,1,0,,0,8,icstrtlayer1,d,gr,,2125.00,9875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:9_x:2375.00_y:9875.00_zone:1,none,factor,34.74978858414799,15.0,50.0,icstrtlayer1,1.0,0.0,1,0,,0,9,icstrtlayer1,d,gr,,2375.00,9875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:10_x:2625.00_y:9875.00_zone:1,none,factor,31.705678767997703,15.0,50.0,icstrtlayer1,1.0,0.0,1,0,,0,10,icstrtlayer1,d,gr,,2625.00,9875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:11_x:2875.00_y:9875.00_zone:1,none,factor,37.29549511616571,15.0,50.0,icstrtlayer1,1.0,0.0,1,0,,0,11,icstrtlayer1,d,gr,,2875.00,9875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:12_x:3125.00_y:9875.00_zone:1,none,factor,35.783291959931816,15.0,50.0,icstrtlayer1,1.0,0.0,1,0,,0,12,icstrtlayer1,d,gr,,3125.00,9875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:13_x:3375.00_y:9875.00_zone:1,none,factor,43.60581292726212,15.0,50.0,icstrtlayer1,1.0,0.0,1,0,,0,13,icstrtlayer1,d,gr,,3375.00,9875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:14_x:3625.00_y:9875.00_zone:1,none,factor,25.56108774981047,15.0,50.0,icstrtlayer1,1.0,0.0,1,0,,0,14,icstrtlayer1,d,gr,,3625.00,9875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:15_x:3875.00_y:9875.00_zone:1,none,factor,30.694468862773782,15.0,50.0,icstrtlayer1,1.0,0.0,1,0,,0,15,icstrtlayer1,d,gr,,3875.00,9875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:16_x:4125.00_y:9875.00_zone:1,none,factor,41.91354308803185,15.0,50.0,icstrtlayer1,1.0,0.0,1,0,,0,16,icstrtlayer1,d,gr,,4125.00,9875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:17_x:4375.00_y:9875.00_zone:1,none,factor,34.51137656758693,15.0,50.0,icstrtlayer1,1.0,0.0,1,0,,0,17,icstrtlayer1,d,gr,,4375.00,9875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:18_x:4625.00_y:9875.00_zone:1,none,factor,35.96763797888534,15.0,50.0,icstrtlayer1,1.0,0.0,1,0,,0,18,icstrtlayer1,d,gr,,4625.00,9875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:19_x:4875.00_y:9875.00_zone:1,none,factor,36.63360330290185,15.0,50.0,icstrtlayer1,1.0,0.0,1,0,,0,19,icstrtlayer1,d,gr,,4875.00,9875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:0_x:125.00_y:9625.00_zone:1,none,factor,32.46387883965872,15.0,50.0,icstrtlayer1,1.0,0.0,1,1,,0,0,icstrtlayer1,d,gr,,125.00,9625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:1_x:375.00_y:9625.00_zone:1,none,factor,26.80694041396334,15.0,50.0,icstrtlayer1,1.0,0.0,1,1,,0,1,icstrtlayer1,d,gr,,375.00,9625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:2_x:625.00_y:9625.00_zone:1,none,factor,43.72856609087879,15.0,50.0,icstrtlayer1,1.0,0.0,1,1,,0,2,icstrtlayer1,d,gr,,625.00,9625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:3_x:875.00_y:9625.00_zone:1,none,factor,37.893439305091356,15.0,50.0,icstrtlayer1,1.0,0.0,1,1,,0,3,icstrtlayer1,d,gr,,875.00,9625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:4_x:1125.00_y:9625.00_zone:1,none,factor,45.01092246666502,15.0,50.0,icstrtlayer1,1.0,0.0,1,1,,0,4,icstrtlayer1,d,gr,,1125.00,9625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:5_x:1375.00_y:9625.00_zone:1,none,factor,37.141976702547545,15.0,50.0,icstrtlayer1,1.0,0.0,1,1,,0,5,icstrtlayer1,d,gr,,1375.00,9625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:6_x:1625.00_y:9625.00_zone:1,none,factor,43.42280576487536,15.0,50.0,icstrtlayer1,1.0,0.0,1,1,,0,6,icstrtlayer1,d,gr,,1625.00,9625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:7_x:1875.00_y:9625.00_zone:1,none,factor,40.11032094535613,15.0,50.0,icstrtlayer1,1.0,0.0,1,1,,0,7,icstrtlayer1,d,gr,,1875.00,9625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:8_x:2125.00_y:9625.00_zone:1,none,factor,44.28055374911669,15.0,50.0,icstrtlayer1,1.0,0.0,1,1,,0,8,icstrtlayer1,d,gr,,2125.00,9625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:9_x:2375.00_y:9625.00_zone:1,none,factor,40.99668647885966,15.0,50.0,icstrtlayer1,1.0,0.0,1,1,,0,9,icstrtlayer1,d,gr,,2375.00,9625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:10_x:2625.00_y:9625.00_zone:1,none,factor,39.536718082156945,15.0,50.0,icstrtlayer1,1.0,0.0,1,1,,0,10,icstrtlayer1,d,gr,,2625.00,9625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:11_x:2875.00_y:9625.00_zone:1,none,factor,30.782533858850154,15.0,50.0,icstrtlayer1,1.0,0.0,1,1,,0,11,icstrtlayer1,d,gr,,2875.00,9625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:12_x:3125.00_y:9625.00_zone:1,none,factor,26.78627972634271,15.0,50.0,icstrtlayer1,1.0,0.0,1,1,,0,12,icstrtlayer1,d,gr,,3125.00,9625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:13_x:3375.00_y:9625.00_zone:1,none,factor,41.08858553196265,15.0,50.0,icstrtlayer1,1.0,0.0,1,1,,0,13,icstrtlayer1,d,gr,,3375.00,9625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:14_x:3625.00_y:9625.00_zone:1,none,factor,36.36947402235717,15.0,50.0,icstrtlayer1,1.0,0.0,1,1,,0,14,icstrtlayer1,d,gr,,3625.00,9625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:15_x:3875.00_y:9625.00_zone:1,none,factor,35.3188800852017,15.0,50.0,icstrtlayer1,1.0,0.0,1,1,,0,15,icstrtlayer1,d,gr,,3875.00,9625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:16_x:4125.00_y:9625.00_zone:1,none,factor,31.831477345573788,15.0,50.0,icstrtlayer1,1.0,0.0,1,1,,0,16,icstrtlayer1,d,gr,,4125.00,9625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:17_x:4375.00_y:9625.00_zone:1,none,factor,36.70422665741828,15.0,50.0,icstrtlayer1,1.0,0.0,1,1,,0,17,icstrtlayer1,d,gr,,4375.00,9625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:18_x:4625.00_y:9625.00_zone:1,none,factor,29.338949272435602,15.0,50.0,icstrtlayer1,1.0,0.0,1,1,,0,18,icstrtlayer1,d,gr,,4625.00,9625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:19_x:4875.00_y:9625.00_zone:1,none,factor,24.727253802472468,15.0,50.0,icstrtlayer1,1.0,0.0,1,1,,0,19,icstrtlayer1,d,gr,,4875.00,9625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:0_x:125.00_y:9375.00_zone:1,none,factor,35.6034561409172,15.0,50.0,icstrtlayer1,1.0,0.0,1,2,,0,0,icstrtlayer1,d,gr,,125.00,9375.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:1_x:375.00_y:9375.00_zone:1,none,factor,35.09979255377103,15.0,50.0,icstrtlayer1,1.0,0.0,1,2,,0,1,icstrtlayer1,d,gr,,375.00,9375.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:2_x:625.00_y:9375.00_zone:1,none,factor,32.1876097236548,15.0,50.0,icstrtlayer1,1.0,0.0,1,2,,0,2,icstrtlayer1,d,gr,,625.00,9375.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:3_x:875.00_y:9375.00_zone:1,none,factor,48.24677820736651,15.0,50.0,icstrtlayer1,1.0,0.0,1,2,,0,3,icstrtlayer1,d,gr,,875.00,9375.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:4_x:1125.00_y:9375.00_zone:1,none,factor,41.21847575802262,15.0,50.0,icstrtlayer1,1.0,0.0,1,2,,0,4,icstrtlayer1,d,gr,,1125.00,9375.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:5_x:1375.00_y:9375.00_zone:1,none,factor,31.174639741771138,15.0,50.0,icstrtlayer1,1.0,0.0,1,2,,0,5,icstrtlayer1,d,gr,,1375.00,9375.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:6_x:1625.00_y:9375.00_zone:1,none,factor,34.86186681923799,15.0,50.0,icstrtlayer1,1.0,0.0,1,2,,0,6,icstrtlayer1,d,gr,,1625.00,9375.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:7_x:1875.00_y:9375.00_zone:1,none,factor,38.87269761712417,15.0,50.0,icstrtlayer1,1.0,0.0,1,2,,0,7,icstrtlayer1,d,gr,,1875.00,9375.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:8_x:2125.00_y:9375.00_zone:1,none,factor,30.885859255560316,15.0,50.0,icstrtlayer1,1.0,0.0,1,2,,0,8,icstrtlayer1,d,gr,,2125.00,9375.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:9_x:2375.00_y:9375.00_zone:1,none,factor,43.423744799327075,15.0,50.0,icstrtlayer1,1.0,0.0,1,2,,0,9,icstrtlayer1,d,gr,,2375.00,9375.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:10_x:2625.00_y:9375.00_zone:1,none,factor,38.95513114908752,15.0,50.0,icstrtlayer1,1.0,0.0,1,2,,0,10,icstrtlayer1,d,gr,,2625.00,9375.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:11_x:2875.00_y:9375.00_zone:1,none,factor,29.352603408552035,15.0,50.0,icstrtlayer1,1.0,0.0,1,2,,0,11,icstrtlayer1,d,gr,,2875.00,9375.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:12_x:3125.00_y:9375.00_zone:1,none,factor,39.471740570315404,15.0,50.0,icstrtlayer1,1.0,0.0,1,2,,0,12,icstrtlayer1,d,gr,,3125.00,9375.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:13_x:3375.00_y:9375.00_zone:1,none,factor,43.08572108501849,15.0,50.0,icstrtlayer1,1.0,0.0,1,2,,0,13,icstrtlayer1,d,gr,,3375.00,9375.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:14_x:3625.00_y:9375.00_zone:1,none,factor,38.70927263384731,15.0,50.0,icstrtlayer1,1.0,0.0,1,2,,0,14,icstrtlayer1,d,gr,,3625.00,9375.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:15_x:3875.00_y:9375.00_zone:1,none,factor,27.17095261647774,15.0,50.0,icstrtlayer1,1.0,0.0,1,2,,0,15,icstrtlayer1,d,gr,,3875.00,9375.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:16_x:4125.00_y:9375.00_zone:1,none,factor,37.60879403834259,15.0,50.0,icstrtlayer1,1.0,0.0,1,2,,0,16,icstrtlayer1,d,gr,,4125.00,9375.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:17_x:4375.00_y:9375.00_zone:1,none,factor,33.26034437624059,15.0,50.0,icstrtlayer1,1.0,0.0,1,2,,0,17,icstrtlayer1,d,gr,,4375.00,9375.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:18_x:4625.00_y:9375.00_zone:1,none,factor,32.89284398862389,15.0,50.0,icstrtlayer1,1.0,0.0,1,2,,0,18,icstrtlayer1,d,gr,,4625.00,9375.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:2_j:19_x:4875.00_y:9375.00_zone:1,none,factor,37.137122791562845,15.0,50.0,icstrtlayer1,1.0,0.0,1,2,,0,19,icstrtlayer1,d,gr,,4875.00,9375.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:3_j:0_x:125.00_y:9125.00_zone:1,none,factor,35.17878359277717,15.0,50.0,icstrtlayer1,1.0,0.0,1,3,,0,0,icstrtlayer1,d,gr,,125.00,9125.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:3_j:1_x:375.00_y:9125.00_zone:1,none,factor,35.8539995138583,15.0,50.0,icstrtlayer1,1.0,0.0,1,3,,0,1,icstrtlayer1,d,gr,,375.00,9125.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:3_j:2_x:625.00_y:9125.00_zone:1,none,factor,38.086387973988934,15.0,50.0,icstrtlayer1,1.0,0.0,1,3,,0,2,icstrtlayer1,d,gr,,625.00,9125.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:3_j:3_x:875.00_y:9125.00_zone:1,none,factor,37.8495597143899,15.0,50.0,icstrtlayer1,1.0,0.0,1,3,,0,3,icstrtlayer1,d,gr,,875.00,9125.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:3_j:4_x:1125.00_y:9125.00_zone:1,none,factor,45.67247092747553,15.0,50.0,icstrtlayer1,1.0,0.0,1,3,,0,4,icstrtlayer1,d,gr,,1125.00,9125.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:3_j:5_x:1375.00_y:9125.00_zone:1,none,factor,35.248567684253544,15.0,50.0,icstrtlayer1,1.0,0.0,1,3,,0,5,icstrtlayer1,d,gr,,1375.00,9125.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:3_j:6_x:1625.00_y:9125.00_zone:1,none,factor,37.82646633543778,15.0,50.0,icstrtlayer1,1.0,0.0,1,3,,0,6,icstrtlayer1,d,gr,,1625.00,9125.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:3_j:7_x:1875.00_y:9125.00_zone:1,none,factor,35.6900183722944,15.0,50.0,icstrtlayer1,1.0,0.0,1,3,,0,7,icstrtlayer1,d,gr,,1875.00,9125.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:3_j:8_x:2125.00_y:9125.00_zone:1,none,factor,33.450860555130824,15.0,50.0,icstrtlayer1,1.0,0.0,1,3,,0,8,icstrtlayer1,d,gr,,2125.00,9125.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:3_j:9_x:2375.00_y:9125.00_zone:1,none,factor,44.606221073594895,15.0,50.0,icstrtlayer1,1.0,0.0,1,3,,0,9,icstrtlayer1,d,gr,,2375.00,9125.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:3_j:10_x:2625.00_y:9125.00_zone:1,none,factor,42.384424298983774,15.0,50.0,icstrtlayer1,1.0,0.0,1,3,,0,10,icstrtlayer1,d,gr,,2625.00,9125.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:3_j:11_x:2875.00_y:9125.00_zone:1,none,factor,41.852719571782366,15.0,50.0,icstrtlayer1,1.0,0.0,1,3,,0,11,icstrtlayer1,d,gr,,2875.00,9125.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:3_j:12_x:3125.00_y:9125.00_zone:1,none,factor,33.15841819589438,15.0,50.0,icstrtlayer1,1.0,0.0,1,3,,0,12,icstrtlayer1,d,gr,,3125.00,9125.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:3_j:13_x:3375.00_y:9125.00_zone:1,none,factor,42.51694987311948,15.0,50.0,icstrtlayer1,1.0,0.0,1,3,,0,13,icstrtlayer1,d,gr,,3375.00,9125.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:3_j:14_x:3625.00_y:9125.00_zone:1,none,factor,38.56945587289344,15.0,50.0,icstrtlayer1,1.0,0.0,1,3,,0,14,icstrtlayer1,d,gr,,3625.00,9125.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:3_j:15_x:3875.00_y:9125.00_zone:1,none,factor,32.30214194272367,15.0,50.0,icstrtlayer1,1.0,0.0,1,3,,0,15,icstrtlayer1,d,gr,,3875.00,9125.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:3_j:16_x:4125.00_y:9125.00_zone:1,none,factor,42.56736448715415,15.0,50.0,icstrtlayer1,1.0,0.0,1,3,,0,16,icstrtlayer1,d,gr,,4125.00,9125.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:3_j:17_x:4375.00_y:9125.00_zone:1,none,factor,35.22416593250237,15.0,50.0,icstrtlayer1,1.0,0.0,1,3,,0,17,icstrtlayer1,d,gr,,4375.00,9125.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:3_j:18_x:4625.00_y:9125.00_zone:1,none,factor,32.315013278046976,15.0,50.0,icstrtlayer1,1.0,0.0,1,3,,0,18,icstrtlayer1,d,gr,,4625.00,9125.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:3_j:19_x:4875.00_y:9125.00_zone:1,none,factor,34.98489442853019,15.0,50.0,icstrtlayer1,1.0,0.0,1,3,,0,19,icstrtlayer1,d,gr,,4875.00,9125.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:4_j:0_x:125.00_y:8875.00_zone:1,none,factor,36.8016902161496,15.0,50.0,icstrtlayer1,1.0,0.0,1,4,,0,0,icstrtlayer1,d,gr,,125.00,8875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:4_j:1_x:375.00_y:8875.00_zone:1,none,factor,46.23233937929193,15.0,50.0,icstrtlayer1,1.0,0.0,1,4,,0,1,icstrtlayer1,d,gr,,375.00,8875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:4_j:2_x:625.00_y:8875.00_zone:1,none,factor,37.226011484422905,15.0,50.0,icstrtlayer1,1.0,0.0,1,4,,0,2,icstrtlayer1,d,gr,,625.00,8875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:4_j:3_x:875.00_y:8875.00_zone:1,none,factor,43.827357991505274,15.0,50.0,icstrtlayer1,1.0,0.0,1,4,,0,3,icstrtlayer1,d,gr,,875.00,8875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:4_j:4_x:1125.00_y:8875.00_zone:1,none,factor,32.472836676824535,15.0,50.0,icstrtlayer1,1.0,0.0,1,4,,0,4,icstrtlayer1,d,gr,,1125.00,8875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:4_j:5_x:1375.00_y:8875.00_zone:1,none,factor,47.37913901112673,15.0,50.0,icstrtlayer1,1.0,0.0,1,4,,0,5,icstrtlayer1,d,gr,,1375.00,8875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:4_j:6_x:1625.00_y:8875.00_zone:1,none,factor,44.909186691320926,15.0,50.0,icstrtlayer1,1.0,0.0,1,4,,0,6,icstrtlayer1,d,gr,,1625.00,8875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:4_j:7_x:1875.00_y:8875.00_zone:1,none,factor,19.980895738012894,15.0,50.0,icstrtlayer1,1.0,0.0,1,4,,0,7,icstrtlayer1,d,gr,,1875.00,8875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:4_j:8_x:2125.00_y:8875.00_zone:1,none,factor,27.956219260705566,15.0,50.0,icstrtlayer1,1.0,0.0,1,4,,0,8,icstrtlayer1,d,gr,,2125.00,8875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:4_j:9_x:2375.00_y:8875.00_zone:1,none,factor,34.62293641447344,15.0,50.0,icstrtlayer1,1.0,0.0,1,4,,0,9,icstrtlayer1,d,gr,,2375.00,8875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:4_j:10_x:2625.00_y:8875.00_zone:1,none,factor,43.50414161030581,15.0,50.0,icstrtlayer1,1.0,0.0,1,4,,0,10,icstrtlayer1,d,gr,,2625.00,8875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:4_j:11_x:2875.00_y:8875.00_zone:1,none,factor,25.6823128278874,15.0,50.0,icstrtlayer1,1.0,0.0,1,4,,0,11,icstrtlayer1,d,gr,,2875.00,8875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:4_j:12_x:3125.00_y:8875.00_zone:1,none,factor,27.714725401631735,15.0,50.0,icstrtlayer1,1.0,0.0,1,4,,0,12,icstrtlayer1,d,gr,,3125.00,8875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:4_j:13_x:3375.00_y:8875.00_zone:1,none,factor,39.86494482451191,15.0,50.0,icstrtlayer1,1.0,0.0,1,4,,0,13,icstrtlayer1,d,gr,,3375.00,8875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:4_j:14_x:3625.00_y:8875.00_zone:1,none,factor,37.004758596172984,15.0,50.0,icstrtlayer1,1.0,0.0,1,4,,0,14,icstrtlayer1,d,gr,,3625.00,8875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:4_j:15_x:3875.00_y:8875.00_zone:1,none,factor,37.12700827925908,15.0,50.0,icstrtlayer1,1.0,0.0,1,4,,0,15,icstrtlayer1,d,gr,,3875.00,8875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:4_j:16_x:4125.00_y:8875.00_zone:1,none,factor,40.55442295893633,15.0,50.0,icstrtlayer1,1.0,0.0,1,4,,0,16,icstrtlayer1,d,gr,,4125.00,8875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:4_j:17_x:4375.00_y:8875.00_zone:1,none,factor,27.329522490358286,15.0,50.0,icstrtlayer1,1.0,0.0,1,4,,0,17,icstrtlayer1,d,gr,,4375.00,8875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:4_j:18_x:4625.00_y:8875.00_zone:1,none,factor,30.80454961777195,15.0,50.0,icstrtlayer1,1.0,0.0,1,4,,0,18,icstrtlayer1,d,gr,,4625.00,8875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:4_j:19_x:4875.00_y:8875.00_zone:1,none,factor,35.97697296233892,15.0,50.0,icstrtlayer1,1.0,0.0,1,4,,0,19,icstrtlayer1,d,gr,,4875.00,8875.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:5_j:0_x:125.00_y:8625.00_zone:1,none,factor,35.83347355848983,15.0,50.0,icstrtlayer1,1.0,0.0,1,5,,0,0,icstrtlayer1,d,gr,,125.00,8625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:5_j:1_x:375.00_y:8625.00_zone:1,none,factor,42.825646189446516,15.0,50.0,icstrtlayer1,1.0,0.0,1,5,,0,1,icstrtlayer1,d,gr,,375.00,8625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:5_j:2_x:625.00_y:8625.00_zone:1,none,factor,41.47096631222701,15.0,50.0,icstrtlayer1,1.0,0.0,1,5,,0,2,icstrtlayer1,d,gr,,625.00,8625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:5_j:3_x:875.00_y:8625.00_zone:1,none,factor,45.14330637006677,15.0,50.0,icstrtlayer1,1.0,0.0,1,5,,0,3,icstrtlayer1,d,gr,,875.00,8625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:5_j:4_x:1125.00_y:8625.00_zone:1,none,factor,38.21975851817227,15.0,50.0,icstrtlayer1,1.0,0.0,1,5,,0,4,icstrtlayer1,d,gr,,1125.00,8625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:5_j:5_x:1375.00_y:8625.00_zone:1,none,factor,49.626630539214915,15.0,50.0,icstrtlayer1,1.0,0.0,1,5,,0,5,icstrtlayer1,d,gr,,1375.00,8625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:5_j:6_x:1625.00_y:8625.00_zone:1,none,factor,36.25062133129253,15.0,50.0,icstrtlayer1,1.0,0.0,1,5,,0,6,icstrtlayer1,d,gr,,1625.00,8625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:5_j:7_x:1875.00_y:8625.00_zone:1,none,factor,44.02021764227247,15.0,50.0,icstrtlayer1,1.0,0.0,1,5,,0,7,icstrtlayer1,d,gr,,1875.00,8625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:5_j:8_x:2125.00_y:8625.00_zone:1,none,factor,40.7950670730292,15.0,50.0,icstrtlayer1,1.0,0.0,1,5,,0,8,icstrtlayer1,d,gr,,2125.00,8625.00,1
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:5_j:9_x:2375.00_y:8625.00_zone:1,none,factor,50.0,15.0,50.0,icstrtlayer1,1.0,0.0,1,5,,0,9,icstrtlayer1,d,gr,,2375.00,8625.00,1
